,Kata1,
i,i <= 25,output
0,true,[1]
1,true,"[1,2]"
2,true,"[1,2,3]"
3,true,"[1,2,3,4]"
4,true,"[1,2,3,4]"
,,
,Kata 2,
i,i >= 1,output
25,true,[25]
24,true,"[25,24]"
23,true,"[25,24,23]"
22,true,"[25,24,23,22]"
21,true,"[25,24,23,22,21]"
,,
,Kata 3,
i,i >= -25,output
-1,true,[-1]
-2,true,"[-1,-2]"
-3,true,"[-1,-2,-3]"
-4,true,"[-1,-2,-3,-4]"
-5,true,"[-1,-2,-3,-4,-5]"
,,
,Kata 4,
i,i <= -1,output
-25,true,[-25]
-24,true,"[-25,-24]"
-23,true,"[-25,-24,-23]"
-22,true,"[-25,-24,-23,-22]"
-21,true,"[-25,-24,-23,-22,-21]"
,,
,,
,,